段号,井段,段长_m,平均水泥占据率,平均顶替效率,质量等级
1,7618-7418m,200.0,0.9999999999999997,0.9999999999999997,良好
2,7418-7218m,200.0,0.9999999999999973,0.9999999999999973,良好
3,7218-7018m,200.0,0.9999997134931222,0.9999997134931222,良好
4,7018-6818m,200.0,0.9998768715194334,0.9998768715194334,良好
5,6818-6618m,200.0,0.9969123482981241,0.9969123482981241,良好
6,6618-6418m,200.0,0.9874077384160516,0.9874077384160516,良好
7,6418-6218m,200.0,0.9720037874555737,0.9720037874555737,良好
8,6218-6018m,200.0,0.9499307838106343,0.9499307838106343,良好
9,6018-5818m,200.0,0.9091228990057331,0.9091228990057331,良好
10,5818-5618m,200.0,0.8120123540115903,0.8120123540115903,良好
11,5618-5418m,200.0,0.6641689184398017,0.6641689184398017,不合格
12,5418-5308m,110.46100000000024,0.5269468740598884,0.5269468740598884,不合格
